Date,Software
9/11/2013,0.89
9/12/2013,0.9
9/13/2013,0.9
9/16/2013,0.9
9/17/2013,0.9
9/18/2013,0.9
9/19/2013,0.9
9/20/2013,0.91
9/23/2013,0.91
9/24/2013,0.91
9/25/2013,0.91
9/26/2013,0.9
9/27/2013,0.9
9/30/2013,0.9
10/1/2013,0.9
10/2/2013,0.9
10/3/2013,0.9
10/4/2013,0.9
10/7/2013,0.9
10/8/2013,0.9
10/9/2013,0.9
10/10/2013,0.9
10/11/2013,0.9
10/14/2013,0.9
10/15/2013,0.9
10/16/2013,0.9
10/17/2013,0.9
10/18/2013,0.89
10/21/2013,0.89
10/22/2013,0.9
10/23/2013,0.9
10/24/2013,0.91
10/25/2013,0.92
10/28/2013,0.92
10/29/2013,0.92
10/30/2013,0.92
10/31/2013,0.92
11/1/2013,0.91
11/4/2013,0.92
11/5/2013,0.92
11/6/2013,0.93
11/7/2013,0.93
11/8/2013,0.93
11/11/2013,0.93
11/12/2013,0.93
11/13/2013,0.92
11/14/2013,0.92
11/15/2013,0.93
11/18/2013,0.93
11/19/2013,0.96
11/20/2013,0.96
11/21/2013,0.96
11/22/2013,0.95
11/25/2013,0.96
11/26/2013,0.95
11/27/2013,0.95
11/29/2013,0.95
12/2/2013,0.95
12/3/2013,0.95
12/4/2013,0.95
12/5/2013,0.96
12/6/2013,0.97
12/9/2013,0.97
12/10/2013,0.97
12/11/2013,0.97
12/12/2013,0.98
12/13/2013,0.98
12/16/2013,0.98
12/17/2013,0.98
12/18/2013,0.99
12/19/2013,0.99
12/20/2013,0.99
12/23/2013,0.98
12/24/2013,0.98
12/26/2013,0.98
12/27/2013,0.98
12/30/2013,0.98
12/31/2013,0.99
1/2/2014,0.98
1/3/2014,0.98
1/6/2014,0.98
1/7/2014,0.98
1/8/2014,0.98
1/9/2014,0.98
1/10/2014,0.99
1/13/2014,0.99
1/14/2014,1
1/15/2014,1.01
1/16/2014,1.01
1/17/2014,1.01
1/21/2014,1.01
1/22/2014,1.01
1/23/2014,1.02
1/24/2014,1.03
1/27/2014,1.03
1/28/2014,1.02
1/29/2014,1.01
1/30/2014,1.01
1/31/2014,1.01
2/3/2014,1.02
2/4/2014,1.01
2/5/2014,1.02
2/6/2014,1.02
2/7/2014,1.02
2/10/2014,1.02
2/11/2014,1.02
2/12/2014,1.02
2/13/2014,1.02
2/14/2014,1.02
2/18/2014,1.02
2/19/2014,1.02
2/20/2014,1.02
2/21/2014,1.02
2/24/2014,1.02
2/25/2014,1.02
2/26/2014,1.02
2/27/2014,1.02
2/28/2014,1.02
3/3/2014,1.02
3/4/2014,1.02
3/5/2014,1.03
3/6/2014,1.03
3/7/2014,1.03
3/10/2014,1.03
3/11/2014,1.03
3/12/2014,1.03
3/13/2014,1.03
3/14/2014,1.03
3/17/2014,1.03
3/18/2014,1.03
3/19/2014,1.04
3/20/2014,1.04
3/21/2014,1.03
