,id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
24366,31056942,Bushwick,Entire home/apt,4,1.0,1.0,120.0,30,0,0,,,
24367,32015440,Bushwick,Private room,1,2.0,3.0,35.0,30,1,0,,,
24368,32642131,Hell's Kitchen,Private room,2,1.0,1.0,90.0,3,0,2,100.0,10.0,10.0
24369,33447052,Bedford-Stuyvesant,Private room,2,1.5,1.0,50.0,3,1,4,100.0,10.0,10.0
24370,31809829,Bushwick,Private room,2,1.0,1.0,75.0,2,0,0,,,
24371,31857139,Borough Park,Entire home/apt,3,1.0,1.0,60.0,2,2,5,92.0,9.0,9.0
24372,31652405,Midtown,Private room,2,1.0,1.0,119.0,1,0,1,100.0,10.0,10.0
24373,33183013,Williamsburg,Private room,1,1.0,1.0,90.0,3,0,2,100.0,10.0,9.0
24374,33266016,Williamsburg,Private room,2,1.0,1.0,75.0,14,0,0,,,
24375,32937383,Bay Ridge,Shared room,1,1.0,1.0,25.0,10,0,0,,,
24376,33464005,East Village,Entire home/apt,3,1.0,0.0,160.0,2,0,1,100.0,10.0,10.0
24377,33457731,Bedford-Stuyvesant,Private room,1,1.5,1.0,56.0,1,0,1,100.0,10.0,10.0
24378,33527043,East Village,Entire home/apt,3,1.0,0.0,110.0,30,16,1,100.0,10.0,10.0
24379,1707823,Greenpoint,Private room,2,1.0,1.0,75.0,1,43,54,99.0,10.0,10.0
24380,6322937,Long Island City,Entire home/apt,2,1.0,1.0,115.0,5,0,6,90.0,10.0,9.0
24381,432090,Long Island City,Private room,1,1.0,1.0,50.0,180,0,69,99.0,10.0,10.0
24382,9685158,East Village,Entire home/apt,5,1.0,2.0,390.0,7,0,0,,,
24383,27624539,Gramercy,Entire home/apt,4,1.0,1.0,400.0,4,0,2,100.0,10.0,10.0
24384,13453023,Upper West Side,Private room,2,1.0,1.0,100.0,1,324,17,100.0,10.0,10.0
24385,7699542,Upper East Side,Private room,2,1.0,1.0,95.0,1,0,1,80.0,8.0,8.0
24386,22203719,West Village,Entire home/apt,2,1.0,0.0,150.0,3,30,9,96.0,10.0,10.0
24387,22290967,Flushing,Private room,2,1.0,1.0,79.0,2,360,11,75.0,8.0,8.0
24388,24404867,Flushing,Private room,2,2.0,1.0,48.0,1,238,22,76.0,9.0,9.0
24389,4704813,Upper East Side,Entire home/apt,4,1.0,2.0,235.0,7,0,8,100.0,10.0,10.0
